arch=plain dataset=fashion width=32 mode=ptq depth=32 seed=5 fp=0.7178 dyn=1:0.1083,2:0.1006,3:0.1002,4:0.0946,5:0.2224,6:0.3297,8:0.5891 cal=1:0.1000,2:0.1108,3:0.1105,4:0.0948,5:0.2109,6:0.3065,8:0.5792 eta_q=1:0.5656,2:0.3886,3:0.2207,4:0.1421,5:0.0969,6:0.0676,8:0.0335
arch=plain dataset=fashion width=32 mode=ptq depth=32 seed=7 fp=0.7730 dyn=1:0.1084,2:0.1170,3:0.1281,4:0.1946,5:0.3466,6:0.3877,8:0.6777 cal=1:0.1000,2:0.1188,3:0.1300,4:0.2328,5:0.3321,6:0.3648,8:0.6707 eta_q=1:0.5686,2:0.3939,3:0.2241,4:0.1435,5:0.0963,6:0.0673,8:0.0333
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=7 fp=0.8192 dyn=1:0.4421,2:0.3245,3:0.7337,4:0.6967,5:0.7848,6:0.7853,8:0.8253 cal=1:0.3100,2:0.3198,3:0.7389,4:0.6962,5:0.7857,6:0.7867,8:0.8266 eta_q=1:0.5542,2:0.3820,3:0.2178,4:0.1437,5:0.0992,6:0.0697,8:0.0342
arch=plain dataset=fashion width=32 mode=ptq depth=32 seed=9 fp=0.7734 dyn=1:0.0998,2:0.1105,3:0.1261,4:0.2029,5:0.3248,6:0.4848,8:0.7031 cal=1:0.1000,2:0.1322,3:0.1056,4:0.2066,5:0.3357,6:0.4861,8:0.7040 eta_q=1:0.5521,2:0.3766,3:0.2152,4:0.1409,5:0.0971,6:0.0677,8:0.0335
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=8 fp=0.8278 dyn=1:0.2430,2:0.5060,3:0.7162,4:0.7573,5:0.8052,6:0.8172,8:0.8334 cal=1:0.1578,2:0.4936,3:0.7163,4:0.7559,5:0.8087,6:0.8148,8:0.8344 eta_q=1:0.5422,2:0.3753,3:0.2215,4:0.1466,5:0.0999,6:0.0700,8:0.0346
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=3 fp=0.7556 dyn=1:0.1034,2:0.0923,3:0.1440,4:0.2739,5:0.3669,6:0.4017,8:0.6896 cal=1:0.1000,2:0.0767,3:0.1327,4:0.2633,5:0.3903,6:0.4085,8:0.6838 eta_q=1:0.5614,2:0.3867,3:0.2194,4:0.1433,5:0.0984,6:0.0685,8:0.0340
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=2 fp=0.8336 dyn=1:0.2960,2:0.4580,3:0.7064,4:0.7366,5:0.8051,6:0.8163,8:0.8311 cal=1:0.2757,2:0.4577,3:0.7115,4:0.7335,5:0.8090,6:0.8219,8:0.8308 eta_q=1:0.5398,2:0.3777,3:0.2198,4:0.1462,5:0.1003,6:0.0702,8:0.0346
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=7 fp=0.7423 dyn=1:0.0981,2:0.0912,3:0.1256,4:0.2146,5:0.2803,6:0.5420,8:0.6813 cal=1:0.1000,2:0.1011,3:0.1198,4:0.2065,5:0.2832,6:0.5463,8:0.6774 eta_q=1:0.5510,2:0.3767,3:0.2168,4:0.1426,5:0.0980,6:0.0686,8:0.0339
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=3 fp=0.8269 dyn=1:0.3514,2:0.4224,3:0.6988,4:0.7734,5:0.8031,6:0.8198,8:0.8261 cal=1:0.2864,2:0.4113,3:0.7064,4:0.7737,5:0.8027,6:0.8185,8:0.8271 eta_q=1:0.5462,2:0.3804,3:0.2226,4:0.1475,5:0.1017,6:0.0707,8:0.0352
arch=res2 dataset=fashion width=32 mode=ptq depth=16 seed=2 fp=0.8371 dyn=1:0.3609,2:0.4483,3:0.7025,4:0.7585,5:0.7935,6:0.8262,8:0.8256 cal=1:0.1858,2:0.4483,3:0.7134,4:0.7609,5:0.7927,6:0.8282,8:0.8287 eta_q=1:0.5332,2:0.3725,3:0.2202,4:0.1454,5:0.1007,6:0.0700,8:0.0347
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=4 fp=0.7696 dyn=1:0.0830,2:0.1011,3:0.1339,4:0.2513,5:0.2885,6:0.5194,8:0.7023 cal=1:0.1000,2:0.0804,3:0.1350,4:0.2556,5:0.2896,6:0.5010,8:0.7077 eta_q=1:0.5511,2:0.3776,3:0.2179,4:0.1439,5:0.0986,6:0.0690,8:0.0342
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=5 fp=0.8445 dyn=1:0.4198,2:0.4928,3:0.6925,4:0.7935,5:0.8207,6:0.8329,8:0.8389 cal=1:0.2892,2:0.4882,3:0.7018,4:0.7919,5:0.8250,6:0.8298,8:0.8382 eta_q=1:0.5468,2:0.3737,3:0.2180,4:0.1443,5:0.0995,6:0.0696,8:0.0341
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=9 fp=0.8187 dyn=1:0.3408,2:0.5663,3:0.6789,4:0.7700,5:0.7808,6:0.7824,8:0.8124 cal=1:0.2623,2:0.5606,3:0.6790,4:0.7651,5:0.7799,6:0.7816,8:0.8133 eta_q=1:0.5403,2:0.3781,3:0.2195,4:0.1450,5:0.1005,6:0.0701,8:0.0345
arch=res2 dataset=fashion width=32 mode=ptq depth=8 seed=6 fp=0.8219 dyn=1:0.4648,2:0.4600,3:0.5965,4:0.7762,5:0.8040,6:0.8007,8:0.8288 cal=1:0.2240,2:0.4560,3:0.6071,4:0.7783,5:0.8073,6:0.8007,8:0.8265 eta_q=1:0.5460,2:0.3778,3:0.2208,4:0.1451,5:0.1009,6:0.0704,8:0.0349
arch=res2 dataset=fashion width=32 mode=ptq depth=16 seed=3 fp=0.8236 dyn=1:0.2696,2:0.4366,3:0.6783,4:0.7663,5:0.7976,6:0.8158,8:0.8183 cal=1:0.2104,2:0.4253,3:0.6762,4:0.7650,5:0.7994,6:0.8160,8:0.8171 eta_q=1:0.5384,2:0.3727,3:0.2196,4:0.1455,5:0.1005,6:0.0701,8:0.0346
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=2 fp=0.7791 dyn=1:0.1000,2:0.0999,3:0.1416,4:0.2370,5:0.4107,6:0.4076,8:0.7421 cal=1:0.1000,2:0.1004,3:0.1490,4:0.2232,5:0.3921,6:0.4081,8:0.7386 eta_q=1:0.5590,2:0.3827,3:0.2191,4:0.1426,5:0.0979,6:0.0683,8:0.0337
arch=res2 dataset=fashion width=32 mode=ptq depth=16 seed=4 fp=0.8229 dyn=1:0.2343,2:0.5655,3:0.6581,4:0.7161,5:0.7279,6:0.7986,8:0.8168 cal=1:0.2456,2:0.5578,3:0.6568,4:0.7141,5:0.7295,6:0.8053,8:0.8161 eta_q=1:0.5483,2:0.3740,3:0.2189,4:0.1450,5:0.1001,6:0.0694,8:0.0345
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=9 fp=0.7528 dyn=1:0.0453,2:0.1733,3:0.1150,4:0.1546,5:0.3818,6:0.5282,8:0.5555 cal=1:0.1000,2:0.1833,3:0.1237,4:0.1451,5:0.3905,6:0.5143,8:0.5628 eta_q=1:0.5476,2:0.3753,3:0.2178,4:0.1438,5:0.0990,6:0.0693,8:0.0342
arch=plain dataset=fashion width=32 mode=ptq depth=24 seed=6 fp=0.7762 dyn=1:0.0934,2:0.0983,3:0.1433,4:0.1794,5:0.2598,6:0.6149,8:0.7035 cal=1:0.1000,2:0.1016,3:0.1613,4:0.1676,5:0.2654,6:0.6401,8:0.7004 eta_q=1:0.5496,2:0.3756,3:0.2150,4:0.1415,5:0.0969,6:0.0680,8:0.0337
arch=plain dataset=fashion width=32 mode=ptq depth=32 seed=0 fp=0.7428 dyn=1:0.0975,2:0.0810,3:0.1229,4:0.2515,5:0.2929,6:0.4740,8:0.6592 cal=1:0.1000,2:0.0681,3:0.1369,4:0.2687,5:0.2934,6:0.4913,8:0.6613 eta_q=1:0.5498,2:0.3784,3:0.2156,4:0.1399,5:0.0962,6:0.0671,8:0.0332
arch=plain dataset=fashion width=32 mode=ptq depth=32 seed=3 fp=0.7301 dyn=1:0.1076,2:0.0885,3:0.0943,4:0.2119,5:0.3684,6:0.3295,8:0.6802 cal=1:0.1000,2:0.0947,3:0.0934,4:0.2058,5:0.3734,6:0.3289,8:0.6748 eta_q=1:0.5755,2:0.4032,3:0.2258,4:0.1394,5:0.0930,6:0.0647,8:0.0322
arch=plain dataset=fashion width=32 mode=ptq depth=32 seed=4 fp=0.7314 dyn=1:0.0737,2:0.1033,3:0.0950,4:0.2483,5:0.2427,6:0.3961,8:0.6016 cal=1:0.1000,2:0.1014,3:0.1277,4:0.2211,5:0.2485,6:0.3972,8:0.6048 eta_q=1:0.5928,2:0.4277,3:0.2451,4:0.1479,5:0.0955,6:0.0647,8:0.0321
arch=plain dataset=fashion width=32 mode=ptq depth=32 seed=8 fp=0.7617 dyn=1:0.0952,2:0.0866,3:0.1203,4:0.2418,5:0.3291,6:0.3775,8:0.6931 cal=1:0.1000,2:0.0896,3:0.1085,4:0.2152,5:0.3367,6:0.3958,8:0.6908 eta_q=1:0.5624,2:0.3884,3:0.2203,4:0.1413,5:0.0966,6:0.0675,8:0.0334
arch=plain dataset=fashion width=32 mode=ptq depth=32 seed=6 fp=0.7093 dyn=1:0.1073,2:0.1475,3:0.0955,4:0.1907,5:0.2460,6:0.3144,8:0.5427 cal=1:0.1000,2:0.1370,3:0.1173,4:0.1928,5:0.2465,6:0.3255,8:0.5360 eta_q=1:0.5666,2:0.3952,3:0.2210,4:0.1398,5:0.0947,6:0.0661,8:0.0329
arch=res2 dataset=fashion width=32 mode=ptq depth=16 seed=5 fp=0.8402 dyn=1:0.3843,2:0.3645,3:0.5698,4:0.6865,5:0.7984,6:0.7957,8:0.8261 cal=1:0.2268,2:0.3616,3:0.5710,4:0.6853,5:0.7942,6:0.7968,8:0.8266 eta_q=1:0.5525,2:0.3763,3:0.2170,4:0.1436,5:0.0989,6:0.0688,8:0.0341
arch=res2 dataset=fashion width=32 mode=ptq depth=16 seed=0 fp=0.8320 dyn=1:0.4688,2:0.3889,3:0.6223,4:0.7617,5:0.7959,6:0.8223,8:0.8301 cal=1:0.3326,2:0.3918,3:0.6212,4:0.7634,5:0.7971,6:0.8212,8:0.8288 eta_q=1:0.5428,2:0.3735,3:0.2202,4:0.1454,5:0.1002,6:0.0697,8:0.0347
